model,dataset,demographics,iteration,auc
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Kvinde,2,0.24786409391623904
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,1,4,0.2551372235571443
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,2,4,0.3389494983548231
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,3,9,0.23490131920022048
Qwen3-Embedding-0.6B__prompt-cluster,welfare,1,4,0.28985421937399003
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,2,0,0.22022058489851143
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Kvinde,6,0.20926309832986967
Qwen3-Embedding-0.6B__prompt-grouping,welfare,2,0,0.25018781980712806
multilingual-e5-large-instruct__prompt-cluster,welfare,3,4,0.4584916918700866
multilingual-e5-large-instruct__prompt-grouping,rai,Kvinde,1,0.3796288128398712
Qwen3-Embedding-0.6B__prompt-cluster,rai,Unknown,7,0.19812384699555305
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,3,1,0.4239277548427827
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,2,3,0.21541346567527872
multilingual-e5-large-instruct__prompt-grouping,welfare,11,3,0.4315382918352213
Qwen3-Embedding-0.6B__prompt-cluster,welfare,2,9,0.2713639933908196
Qwen3-Embedding-0.6B__prompt-meaning,welfare,11,4,0.29904295983999063
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,2,4,0.22926542688696394
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Kvinde,3,0.23137720210647209
multilingual-e5-large-instruct__prompt-grouping,rai,Kvinde,7,0.3684502222688554
multilingual-e5-large-instruct__prompt-topic,welfare,1,1,0.5175435028716124
Qwen3-Embedding-0.6B__prompt-meaning,welfare,1,7,0.3175041537028905
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,11,9,0.4671549543654669
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,0,0.18794771672038
multilingual-e5-large-instruct__prompt-meaning,welfare,1,3,0.44584956338553994
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,11,3,0.22033387249081146
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,4,0,0.19134594553081996
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,2,3,0.23659929240809965
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,11,0,0.4177483996134244
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Unknown,0,0.2584232103046002
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,1,1,0.4414249950734533
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,1,5,0.3818271162716515
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,3,4,0.40886610432931486
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Unknown,4,0.3101279635752259
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,3,7,0.23948040901055756
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Mand,8,0.24894621878410733
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Unknown,2,0.28725007493356214
multilingual-e5-large-instruct__prompt-grouping,welfare,3,7,0.4508454663613966
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Unknown,4,0.27134472732415993
multilingual-e5-large-instruct__prompt-cluster,rai,Mand,5,0.3505747842770179
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,2,5,0.22984239143905463
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,4,3,0.37840366514430684
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Kvinde,4,0.23115761013027397
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,11,8,0.2034925417066464
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,2,6,0.2097810623723087
multilingual-e5-large-instruct__prompt-cluster,welfare,11,1,0.41751377048180066
multilingual-e5-large-instruct__prompt-similarity,rai,Mand,6,0.34159834751758766
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,3,9,0.4173958765872075
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,4,0.36470729800001733
Qwen3-Embedding-0.6B__prompt-cluster,rai,Kvinde,6,0.15443402097733155
Qwen3-Embedding-0.6B__prompt-grouping,welfare,2,9,0.27480530919723056
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,3,8,0.20854882521760082
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,2,0,0.2263310755688655
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Unknown,8,0.25076455930677966
multilingual-e5-large-instruct__prompt-grouping,welfare,3,1,0.4218516188461383
multilingual-e5-large-instruct__prompt-similarity,welfare,4,0,0.3826368086754991
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Kvinde,9,0.22528419262914962
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Mand,2,0.21661550804751864
Qwen3-Embedding-0.6B__prompt-grouping,rai,Kvinde,7,0.1409697820540647
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Kvinde,9,0.22961066702621916
multilingual-e5-large-instruct__prompt-grouping,rai,Mand,8,0.3467964227904261
multilingual-e5-large-instruct__prompt-grouping,welfare,2,9,0.4537787239309942
Qwen3-Embedding-0.6B__prompt-meaning,welfare,11,5,0.297222721983076
Qwen3-Embedding-0.6B__prompt-similarity,welfare,1,3,0.29414586946349947
Qwen3-Embedding-0.6B__prompt-topic,welfare,11,3,0.343524005248273
Qwen3-Embedding-0.6B__prompt-topic,welfare,4,9,0.24393906731974163
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,4,3,0.3543875641748919
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,3,0.3664906082357976
multilingual-e5-large-instruct__prompt-topic,welfare,2,5,0.481993919901546
Qwen3-Embedding-0.6B__prompt-similarity,welfare,11,8,0.2650399866983444
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,3,4,0.21461665270190627
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,1,9,0.2497117823000902
Qwen3-Embedding-0.6B__prompt-topic,welfare,1,8,0.36928330214483274
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,2,3,0.3825545656487154
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,4,5,0.4213966915804164
multilingual-e5-large-instruct__prompt-similarity,welfare,11,3,0.4057300388337975
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,3,2,0.4063802089445249
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,3,0.4318372697852792
multilingual-e5-large-instruct__prompt-grouping,rai,Unknown,2,0.42043817894975577
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,2,9,0.39602682949056073
Qwen3-Embedding-0.6B__prompt-similarity,rai,Kvinde,5,0.160197196982336
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,3,9,0.44477024147849736
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Unknown,7,0.2580444540194168
Qwen3-Embedding-0.6B__prompt-grouping,welfare,1,4,0.2977399675435363
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,3,0,0.22440405951660003
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Kvinde,4,0.20648826729105282
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,3,2,0.4573510296829388
multilingual-e5-large-instruct__prompt-topic,welfare,1,7,0.49619174216399603
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,2,4,0.21554461163371547
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Kvinde,6,0.27178362291131014
Qwen3-Embedding-0.6B__prompt-grouping,welfare,3,7,0.26144920139136285
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Unknown,4,0.28728999998312754
multilingual-e5-large-instruct__prompt-cluster,rai,Kvinde,8,0.3863609303339816
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Kvinde,1,0.2746425343561573
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,4,8,0.207065028085346
multilingual-e5-large-instruct__prompt-grouping,welfare,3,8,0.46430432538615357
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,11,3,0.4476153422647059
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,0,0.4278442879355584
multilingual-e5-large-instruct__prompt-meaning,rai,Kvinde,1,0.3447415582832466
multilingual-e5-large-instruct__prompt-meaning,rai,Unknown,9,0.3938572658502136
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,2,0.2014721737128719
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,1,5,0.27670397667483315
multilingual-e5-large-instruct__prompt-cluster,welfare,1,0,0.4880725671921234
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,2,0.1948248987781825
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Kvinde,8,0.22997635241837014
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,1,3,0.2682181520606637
multilingual-e5-large-instruct__prompt-meaning,welfare,2,8,0.40402052698813956
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,4,7,0.38577962307987673
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,8,0.1888583405298786
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,3,9,0.42655564169612037
Qwen3-Embedding-0.6B__prompt-meaning,rai,Unknown,9,0.2515097010184303
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Kvinde,0,0.22571621966798397
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,2,7,0.3532490343862359
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,3,0,0.4295834236413134
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Unknown,8,0.2721337957584546
multilingual-e5-large-instruct__prompt-topic,welfare,11,3,0.49506267982560337
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,3,9,0.19830224503578173
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,0,0.2118565788812868
multilingual-e5-large-instruct__prompt-cluster,rai,Unknown,8,0.3869581714913488
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,4,0,0.346655107566894
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,1,3,0.2677683094862141
Qwen3-Embedding-0.6B__prompt-similarity,welfare,2,7,0.2533051050321889
multilingual-e5-large-instruct__prompt-cluster,welfare,1,2,0.496349195234802
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,1,7,0.40348374124103836
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,9,0.19781607298341006
multilingual-e5-large-instruct__prompt-topic,welfare,3,0,0.5122290726792046
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,2,2,0.4207071112031922
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,1,4,0.2648673055767015
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,11,7,0.4331721893728933
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,0,0.25511656363809554
multilingual-e5-large-instruct__prompt-similarity,welfare,4,5,0.3736202867933714
Qwen3-Embedding-0.6B__prompt-meaning,welfare,11,7,0.283670876004756
multilingual-e5-large-instruct__prompt-cluster,rai,Mand,9,0.3322308678552215
