model,dataset,demographics,iteration,auc,metric
xlm-roberta-large,rai,Mand,1,0.139950216854041,binary_auc
text-embedding-ada-002,welfare,1,7,0.5458240121851733,binary_auc
LaBSE,welfare,11,1,0.45292988315265714,binary_auc
text-embedding-3-small,rai,Kvinde,9,0.3483767666186271,binary_auc
LaBSE,rai,Kvinde,8,0.3046185874128552,binary_auc
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,6,0.4425028251473692,binary_auc
model2vecdk-stem,welfare,4,3,0.3313961313227791,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,2,8,0.30412042631424413,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,4,3,0.3190659812463609,binary_auc
M2V_base_glove,welfare,11,5,0.04581452869202738,binary_auc
potion-multilingual-128M,welfare,4,3,0.43415696803342035,binary_auc
M2V_base_output,welfare,1,7,0.22169971481485853,binary_auc
bge-m3,welfare,4,0,0.44903137487570943,binary_auc
multilingual-e5-large,rai,Unknown,6,0.3842224437643578,binary_auc
xlm-roberta-base,welfare,1,0,0.091943814060104,binary_auc
model2vecdk,rai,Mand,6,0.2969729252663433,binary_auc
potion-base-2M,welfare,11,4,0.21914704803447768,binary_auc
LaBSE,welfare,3,3,0.4808327576504123,binary_auc
text-embedding-3-small,welfare,4,2,0.4824686398260495,binary_auc
multilingual-e5-small,rai,Mand,2,0.3157180568760939,binary_auc
M2V_base_glove_subword,welfare,4,8,0.2571872059006115,binary_auc
nb-sbert-base,rai,Unknown,8,0.395540825001665,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,11,3,0.5734552929505251,binary_auc
xlm-roberta-base,rai,Kvinde,8,0.17296431227118722,binary_auc
m2v-dfm-large,welfare,2,4,0.3510424555835945,binary_auc
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,9,0.30248460285405465,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,5,0.37777965141834946,binary_auc
dfm-sentence-encoder-large,welfare,1,7,0.36536830775215506,binary_auc
snowflake-arctic-embed-l-v2.0,rai,Mand,2,0.3586356984664087,binary_auc
M2V_base_glove_subword,welfare,1,2,0.21626422945248355,binary_auc
multilingual-e5-large-instruct,welfare,11,0,0.5079348295600936,binary_auc
M2V_base_glove_subword,welfare,2,2,0.16287585109278704,binary_auc
model2vecdk-stem,welfare,2,3,0.2915411394769165,binary_auc
multilingual-e5-base,welfare,3,1,0.39005336947161234,binary_auc
potion-multilingual-128M,rai,Unknown,9,0.29689972728037994,binary_auc
text-embedding-3-small,welfare,1,0,0.5067204406465762,binary_auc
LaBSE,welfare,11,6,0.45254993617023404,binary_auc
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,5,0.39448173548219145,binary_auc
text-embedding-ada-002,welfare,4,1,0.44039102223351867,binary_auc
text-embedding-ada-002,welfare,1,6,0.5436794625393186,binary_auc
static-similarity-mrl-multilingual-v1,rai,Kvinde,3,0.22945907512857683,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,2,4,0.30204910048830247,binary_auc
m2v-dfm-large,welfare,1,8,0.43477558618709067,binary_auc
multilingual-e5-large,welfare,11,4,0.41532041792104335,binary_auc
potion-base-2M,welfare,11,9,0.22450777867380856,binary_auc
text-embedding-ada-002,rai,Kvinde,1,0.36699029885510404,binary_auc
xlm-roberta-large,rai,Mand,6,0.13817405409125602,binary_auc
multilingual-e5-large-instruct,rai,Mand,0,0.40978559157325284,binary_auc
multilingual-e5-large-instruct,welfare,2,6,0.5369025402897392,binary_auc
text-embedding-3-large,welfare,11,6,0.5053555280055381,binary_auc
multilingual-e5-large-instruct,welfare,2,8,0.5389856862287238,binary_auc
model2vecdk,rai,Kvinde,0,0.3132295415578966,binary_auc
static-similarity-mrl-multilingual-v1,welfare,11,4,0.3481322821275512,binary_auc
multilingual-e5-large-instruct,welfare,3,9,0.543140526752577,binary_auc
multilingual-e5-small,welfare,1,2,0.4333247522579058,binary_auc
multilingual-e5-large,welfare,11,7,0.41916951334035024,binary_auc
xlm-roberta-base,rai,Mand,6,0.16426055458180872,binary_auc
potion-base-2M,welfare,2,9,0.15742387468181562,binary_auc
m2v-dfm-large,welfare,4,6,0.3741209519441002,binary_auc
m2v-dfm-large,rai,Mand,3,0.34005160841637955,binary_auc
m2v-dfm-large,rai,Kvinde,9,0.32750024216265194,binary_auc
